Total Alkaloids,Reducing Sugars,Total Sugars,Total Nitrogen,K,cl,pH,Starch,Neochlorogenic Acid,Chlorogenic Acid,Cryptochlorogenic Acid,Scopoletin,Rutin
3.152329512,15.34545777,16.15248553,2.308466762,2.141844682,8.610844147,4.8,3.545939919,1.518565021,8.716588088,2.337052484,0.367938509,7.422806309
3.229030179,12.63167829,13.53918391,2.388504219,2.019456943,5.000105036,4.72,3.916724447,1.159770708,6.99506566,1.794301712,0.468596944,6.464948066
3.868282187,13.89841539,15.40277111,2.426612094,1.802292941,3.748089007,4.885,4.286085403,1.479356197,8.937540061,2.175464572,0.311126903,8.457868301
3.126720303,15.82107487,17.33296911,2.313308945,1.886923678,2.971288566,4.92,3.90008081,1.738984819,9.595197713,2.57150403,0.325879571,8.125156022
2.904596403,16.0772069,17.24508863,2.323909403,1.882262428,4.767798534,4.86,3.876777417,1.477011285,9.110463335,2.312319302,0.293706635,7.174982754
3.147705996,14.34577905,15.40434894,2.340466072,2.209993918,4.750903027,4.995,3.348373351,1.725296549,9.558044381,2.555332448,0.315625244,9.056578842
3.436472326,14.41734466,15.91618707,2.401978378,1.989713438,3.798436745,4.88,3.55149673,1.76250402,10.39744185,2.587200159,0.24433581,9.426676253
3.230425589,13.92205487,15.20624825,2.383525542,2.100192832,4.080313023,4.83,3.29773626,1.548991102,9.047219396,2.304082419,0.309170367,8.477022944
3.566993941,15.511088,16.61811766,2.468678497,1.924615583,3.418247501,4.79,3.295246392,1.578426304,9.540534595,2.341662122,0.277190679,8.836048574
3.257319111,14.51086153,15.55997636,2.413135729,2.294477964,4.63578709,4.84,3.687957783,1.592753657,8.769329697,2.4102801,0.37599125,7.538827256
3.264688701,14.06049436,15.38817662,2.362064054,2.082351884,5.882282814,4.855,3.272119288,1.629259639,10.06733192,2.449317985,0.311038192,9.884868845
2.792782739,12.14102308,14.04039213,2.592881596,1.900126584,8.267398627,4.745,2.589035536,1.510806101,10.94665837,2.440133026,0.454707467,8.240454787
3.391915882,13.77940718,15.12929929,2.480817953,1.872422782,5.629925172,4.82,3.54801611,1.459739199,8.448808413,2.293213777,0.405701222,7.839750123
3.314921888,14.5575037,16.70263319,2.351221457,2.252812812,5.166745722,4.91,3.949398649,1.728231623,10.09154875,2.526894488,0.244766142,8.430994168
3.329012703,14.3653465,16.31660848,2.420672402,2.365987395,4.346420352,4.86,3.720826393,1.573942526,9.849234804,2.355403238,0.242218382,8.441321227
3.625008003,14.35591742,17.11600877,2.434431581,1.942419788,4.985192325,4.965,4.132593469,1.396276361,9.137580516,2.173680803,0.326988227,8.760513542
3.690944092,11.39641737,13.46899979,2.565732276,2.066500795,4.447666068,4.94,3.267731801,1.598616219,9.188196522,2.384114527,0.323930573,8.001427951
3.171714231,14.71432627,17.49166842,2.488190512,2.338765829,5.780714277,5.005,3.298861251,1.656594608,10.23145608,2.472375846,0.3380996,8.99100505
3.548583287,14.66900609,17.72105313,2.45004073,1.922532235,7.168146356,4.96,4.231141856,1.533544922,10.68877152,2.268300538,0.309980496,9.521346002
3.029862901,15.23077607,17.68909122,2.283287142,2.242819437,5.376170965,4.995,3.404423181,1.671575937,10.65394366,2.623048765,0.301296863,9.339876704
3.481530291,14.23788182,16.23732304,2.39951095,2.009211059,5.51268215,4.99,3.062061134,1.692766796,10.08281261,2.555592119,0.388917726,8.994366799
3.77081107,13.18150907,16.64898202,2.334523159,2.167172685,4.283653472,5.045,3.19225307,1.698676289,10.96781586,2.420366237,0.223261434,10.48072417
3.417688811,12.31651922,13.43479755,2.763345324,2.481215821,8.832520715,4.865,2.899547623,1.654572653,9.339795319,2.666152405,0.457792292,9.849745889
3.476859809,14.66267874,17.16632779,2.483664091,2.294554778,4.239726736,4.82,3.872159071,1.654313512,10.0887036,2.651731958,0.253188513,8.725447633
3.278437071,15.49330794,17.4182299,2.486851071,2.081437309,4.533493497,4.855,4.098721078,1.524445332,8.961675208,2.401505259,0.316680961,8.241841276
3.654221359,14.55632771,16.37035512,2.644864979,2.262349441,5.190284124,4.93,3.460539853,2.01950662,10.9933932,3.142861133,0.349014134,10.66173874
3.414750821,13.92448788,17.23506658,2.689744462,2.230333359,5.68246042,5.03,3.516302405,1.885996976,10.52152357,2.767591472,0.360086193,10.75307456
3.440856969,15.92327555,20.62979718,2.486671142,2.069951258,4.003917717,5.135,3.957527612,2.163413709,11.75059618,2.993828874,0.237866024,11.70973813
3.220436581,15.54652041,17.08245315,2.474606066,1.976479593,5.420200115,4.93,4.166080818,1.445258541,9.564535539,2.319612707,0.386097929,7.730790368
3.884839807,15.91854631,20.20373424,2.625754843,1.84978136,5.412417515,5.1,4.011701639,1.948893586,11.05019388,2.759138653,0.250685731,11.84350559
2.450632583,16.76907114,19.20859465,2.082211075,2.291235693,5.421989634,5.03,6.597425208,1.306611152,10.42586829,1.89213375,0.335626229,6.765156733
3.621808657,11.39019227,15.9078417,2.731724249,1.796484302,4.47381278,5.15,3.315158328,1.998291913,10.17832485,2.888994021,0.237996103,10.69075364
3.176193766,15.71377549,17.88731232,2.622291516,2.313337805,6.298983224,4.92,3.375735435,1.657327925,9.973668992,2.572268108,0.350109609,8.595545399
3.769366548,12.89571308,14.95694875,2.591071222,2.233877898,6.4597814,4.87,3.729932276,1.480630878,9.855528486,2.324036803,0.39321857,8.465099092
4.001013917,16.00430519,20.28800537,2.750013005,1.950785172,3.833906261,5.035,4.414330299,1.946691352,10.82862288,2.659607856,0.284482831,11.55929473
