predictor,component,p,component_sign
1208,1,0.011982700611855378,-1
1209,1,0.010210146002269849,-1
1210,1,0.0092456759546056221,-1
1211,1,0.0076388730598554019,-1
1212,1,0.0060647421391985725,-1
1213,1,0.0038847190416566378,-1
1214,1,0.002476270464743613,-1
1215,1,-2.7573894584156303e-05,-1
1216,1,-0.001858962254666889,-1
1217,1,-0.0041393753369132523,-1
1218,1,-0.0055383318441372779,-1
1219,1,-0.0079768399220002707,-1
1220,1,-0.010206150360652025,-1
1221,1,-0.012409074423338768,-1
1222,1,-0.014516986507578888,-1
1223,1,-0.017025174719084629,-1
1224,1,-0.019045386797491466,-1
1225,1,-0.021566252598629394,-1
1226,1,-0.022914045533094944,-1
1227,1,-0.024476589936083606,-1
1228,1,-0.026513521933179681,-1
1229,1,-0.02791166810659557,-1
1230,1,-0.028334387020669032,-1
1231,1,-0.030503753579133378,-1
1232,1,-0.030764044931652891,-1
1233,1,-0.031335667160732029,-1
1234,1,-0.031059344592198192,-1
1235,1,-0.032603437359581433,-1
1236,1,-0.032068279877239848,-1
1237,1,-0.031135641944990348,-1
1238,1,-0.029499982710040732,-1
1239,1,-0.029561661377086657,-1
1240,1,-0.027625576584712271,-1
1241,1,-0.026808292691608407,-1
1242,1,-0.026124855630955617,-1
1243,1,-0.024606036923309465,-1
1244,1,-0.023418672692074857,-1
1245,1,-0.023566393529475781,-1
1246,1,-0.022076398432457518,-1
1247,1,-0.021604632352380956,-1
1248,1,-0.020665328942133823,-1
1249,1,-0.019520621520732983,-1
1250,1,-0.019463633956753129,-1
1251,1,-0.01825636388176145,-1
1252,1,-0.017265448637724588,-1
1253,1,-0.016667418619629736,-1
1254,1,-0.015777208860837121,-1
1255,1,-0.016109529626142597,-1
1256,1,-0.015201533186175542,-1
1257,1,-0.014951781020342904,-1
1258,1,-0.013312871410658591,-1
1259,1,-0.013088495262737353,-1
1260,1,-0.011981705534126162,-1
1261,1,-0.011126384016354747,-1
1262,1,-0.011465696635365057,-1
1263,1,-0.010283431199573138,-1
1264,1,-0.0097551644586806614,-1
1265,1,-0.0091858718859381874,-1
1266,1,-0.0080378317828027918,-1
1267,1,-0.0070697100983615107,-1
1268,1,-0.0067643511250567775,-1
1269,1,-0.0060796837310062076,-1
1270,1,-0.0051516949787116725,-1
1271,1,-0.0042191520807076327,-1
1272,1,-0.0019035117744082334,-1
1273,1,-0.0012670108475537371,-1
1274,1,-0.00032189459560512916,-1
1275,1,0.00073000088697668076,-1
1276,1,0.0019881439126257245,-1
1277,1,0.0025949764774225218,-1
1278,1,0.0035328292640906338,-1
1279,1,0.0054314334929636866,-1
1280,1,0.0056793542572011581,-1
1281,1,0.0074840511532930816,-1
1282,1,0.0085882666546764821,-1
1283,1,0.0079957396583855266,-1
1284,1,0.010318137149042644,-1
1285,1,0.011040307205747902,-1
1286,1,0.011955275870941357,-1
1287,1,0.012750762383894115,-1
1288,1,0.013871133333293656,-1
1289,1,0.014514012166247306,-1
1290,1,0.01540042544926915,-1
1291,1,0.016808225812497798,-1
1292,1,0.017900411764925427,-1
1293,1,0.019413526561476074,-1
1294,1,0.019173501423411961,-1
1295,1,0.019787280551552756,-1
1296,1,0.021145144785145054,-1
1297,1,0.022080283971479063,-1
1298,1,0.022852706194268494,-1
1299,1,0.022877404311539593,-1
1300,1,0.023717967665819021,-1
1301,1,0.025026681533876681,-1
1302,1,0.024687390974698638,-1
1303,1,0.02556687866241843,-1
1304,1,0.026591879822021203,-1
1305,1,0.026443959137458978,-1
1306,1,0.02709876793895544,-1
1307,1,0.027822452321822011,-1
1308,1,0.0276609392106998,-1
1309,1,0.028502428823976397,-1
1310,1,0.02884978695064468,-1
1311,1,0.028929010526034544,-1
1312,1,0.02922282054799015,-1
1313,1,0.030077028001195726,-1
1314,1,0.029907821066154496,-1
1315,1,0.030174099709252684,-1
1316,1,0.029553923085884979,-1
1317,1,0.029866309903752549,-1
1318,1,0.031032366379803524,-1
1319,1,0.029661420546758816,-1
1320,1,0.029242022830283772,-1
1321,1,0.028029144442913396,-1
1322,1,0.028430806188437574,-1
1323,1,0.028232008001966132,-1
1324,1,0.02729035209974761,-1
1325,1,0.026630134466998627,-1
1326,1,0.025087475372400275,-1
1327,1,0.024826979085315986,-1
1328,1,0.023607989751487309,-1
1329,1,0.022855448444339784,-1
1330,1,0.021439507513569569,-1
1331,1,0.020399922400145314,-1
1332,1,0.019055342700580759,-1
1333,1,0.0176443582842888,-1
1334,1,0.015638981138169732,-1
1335,1,0.014663798522920534,-1
1336,1,0.012673589916869709,-1
1337,1,0.010712471779425945,-1
1338,1,0.0094209187203091217,-1
1339,1,0.0060713757123709577,-1
1340,1,0.0038943883244047044,-1
1341,1,0.0016029082793551708,-1
1342,1,-0.0005191043251690018,-1
1343,1,-0.0044041119755643928,-1
